sample_id,age,sample_type,treatment,litter_id,pup_id
E14_S_DD_5,E15,pyramidal neurons,Saline,DD,5
E14_S_QQ_2,E15,pyramidal neurons,Saline,QQ,2
E14_S_QQ_3,E15,pyramidal neurons,Saline,QQ,3
E14_S_QQ_5,E15,pyramidal neurons,Saline,QQ,5
E14_P_PP_2,E15,pyramidal neurons,PolyIC,PP,2
E14_P_PP_3,E15,pyramidal neurons,PolyIC,PP,3
E14_P_PP_6,E15,pyramidal neurons,PolyIC,PP,6
E14_P_Q_1,E15,pyramidal neurons,PolyIC,Q,1
E14_P_Q_3,E15,pyramidal neurons,PolyIC,Q,3
P0_S_LL_3,P0,pyramidal neurons,Saline,LL,3
P0_S_LL_4,P0,pyramidal neurons,Saline,LL,4
P0_S_LL_6,P0,pyramidal neurons,Saline,LL,6
P0_S_NN_1,P0,pyramidal neurons,Saline,NN,1
P0_S_NN_4,P0,pyramidal neurons,Saline,NN,4
P0_S_NN_5,P0,pyramidal neurons,Saline,NN,5
P0_S_W_2,P0,pyramidal neurons,Saline,W,2
P0_S_W_3,P0,pyramidal neurons,Saline,W,3
P0_S_W_5,P0,pyramidal neurons,Saline,W,5
P0_S_W_8,P0,pyramidal neurons,Saline,W,8
P0_S_W_9,P0,pyramidal neurons,Saline,W,9
P0_S_AK_1,P0,pyramidal neurons,Saline,AK,1
P0_S_AK_2,P0,pyramidal neurons,Saline,AK,2
P0_S_AK_3,P0,pyramidal neurons,Saline,AK,3
P0_S_AR_02,P0,pyramidal neurons,Saline,AR,2
P0_S_AP_04,P0,pyramidal neurons,Saline,AP,4
P0_P_BB_2,P0,pyramidal neurons,PolyIC,BB,2
P0_P_BB_4,P0,pyramidal neurons,PolyIC,BB,4
P0_P_RR_5,P0,pyramidal neurons,PolyIC,RR,5
P0_P_RR_6,P0,pyramidal neurons,PolyIC,RR,6
P0_P_YY_2,P0,pyramidal neurons,PolyIC,YY,2
P0_P_YY_6,P0,pyramidal neurons,PolyIC,YY,6
P0_P_ZZ_2,P0,pyramidal neurons,PolyIC,ZZ,2
P0_P_ZZ_4,P0,pyramidal neurons,PolyIC,ZZ,4
P0_P_ZZ_7,P0,pyramidal neurons,PolyIC,ZZ,7
P0_P_AM_1,P0,pyramidal neurons,PolyIC,AM,1
P0_P_AM_3,P0,pyramidal neurons,PolyIC,AM,3
P0_P_AO_1,P0,pyramidal neurons,PolyIC,AO,1
P0_P_AO_5,P0,pyramidal neurons,PolyIC,AO,5
P0_P_AQ_6,P0,pyramidal neurons,PolyIC,AQ,6
P0_P_OO_5,P0,pyramidal neurons,PolyIC,OO,5
P13_S_AB_1,P13,pyramidal neurons,Saline,AB,1
P13_S_AB_2,P13,pyramidal neurons,Saline,AB,2
P13_S_AC_1,P13,pyramidal neurons,Saline,AC,1
P13_S_AC_2,P13,pyramidal neurons,Saline,AC,2
P13_S_AC_4,P13,pyramidal neurons,Saline,AC,4
P13_S_GG_1,P13,pyramidal neurons,Saline,GG,1
P13_S_GG_2,P13,pyramidal neurons,Saline,GG,2
P13_S_GG_4,P13,pyramidal neurons,Saline,GG,4
P13_S_HH_1,P13,pyramidal neurons,Saline,HH,1
P13_S_HH_2,P13,pyramidal neurons,Saline,HH,2
P13_S_HH_4,P13,pyramidal neurons,Saline,HH,4
P13_P_EE_1,P13,pyramidal neurons,PolyIC,EE,1
P13_P_EE_2,P13,pyramidal neurons,PolyIC,EE,2
P13_P_O_1,P13,pyramidal neurons,PolyIC,O,1
P13_P_O_2,P13,pyramidal neurons,PolyIC,O,2
P13_P_WW_1,P13,pyramidal neurons,PolyIC,WW,1
P13_P_WW_2,P13,pyramidal neurons,PolyIC,WW,2
P13_P_WW_3,P13,pyramidal neurons,PolyIC,WW,3
P13_P_WW_4,P13,pyramidal neurons,PolyIC,WW,4
P13_P_WW_5,P13,pyramidal neurons,PolyIC,WW,5
P13_P_WW_6,P13,pyramidal neurons,PolyIC,WW,6
S_E14_G_02,E15,whole tissue,Saline,G,2
S_E14_G_04,E15,whole tissue,Saline,G,4
S_E14_H_05,E15,whole tissue,Saline,H,5
S_E14_H_06,E15,whole tissue,Saline,H,6
P_E14_A_01,E15,whole tissue,PolyIC,A,1
P_E14_A_02,E15,whole tissue,PolyIC,A,2
P_E14_B_05,E15,whole tissue,PolyIC,B,5
P_E14_B_07,E15,whole tissue,PolyIC,B,7
S_P0_I_01,P0,whole tissue,Saline,I,1
S_P0_I_03,P0,whole tissue,Saline,I,3
S_P0_J_03,P0,whole tissue,Saline,J,3
S_P0_J_04,P0,whole tissue,Saline,J,4
P_P0_E_08,P0,whole tissue,PolyIC,E,8
P_P0_E_09,P0,whole tissue,PolyIC,E,9
P_P0_F_10,P0,whole tissue,PolyIC,F,10
P_P0_F_11,P0,whole tissue,PolyIC,F,11
S_W10_AE_02,P70,whole tissue,Saline,AE,2
S_W10_AE_04,P70,whole tissue,Saline,AE,4
S_W10_AF_01,P70,whole tissue,Saline,AF,1
S_W10_AF_02,P70,whole tissue,Saline,AF,2
S_W10_K_01_,P70,whole tissue,Saline,K,1
S_W10_K_03_,P70,whole tissue,Saline,K,3
P_W10_AD_01,P70,whole tissue,PolyIC,AD,1
P_W10_AD_02,P70,whole tissue,PolyIC,AD,2
P_W10_AG_01,P70,whole tissue,PolyIC,AG,1
P_W10_AG_02,P70,whole tissue,PolyIC,AG,2
P_W10_L_01_,P70,whole tissue,PolyIC,L,1
