sample_title,geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_description,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_phone,!Sample_contact_laboratory,!Sample_contact_department,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_state,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_supplementary_file_1,!Sample_supplementary_file_10,!Sample_supplementary_file_11,!Sample_supplementary_file_12,!Sample_supplementary_file_13,!Sample_supplementary_file_14,!Sample_supplementary_file_15,!Sample_supplementary_file_16,!Sample_supplementary_file_2,!Sample_supplementary_file_3,!Sample_supplementary_file_4,!Sample_supplementary_file_5,!Sample_supplementary_file_6,!Sample_supplementary_file_7,!Sample_supplementary_file_8,!Sample_supplementary_file_9,genotype,strain/background,strain,developmental_stage,treatment,tissue,sex
BK_MIAPBS_E14E18,GSM4456522,Public on Nov 09 2020,Apr 07 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"Embryonic cortices at E14 and E18 were transferred to dissociation media: HBSS (Life Technologies), 10 mM Hepes (Sigma), 172 mg/L kynurenic acid (Sigma), 0.86 g/L MgCl2·6H2O (Sigma), and 6.3 g/L D-glucose (Sigma). This solution was saturated with 95% oxygen and 5% CO2 and was pH-adjusted to 7.35 before use. Papain (20 U/mL; Worthington), Pronase from Streptomyces griseus (1 mg/mL; Sigma), proteinase XXIII from Aspergillus melleus (3 mg/mL; Sigma), and DNase (2 mg/mL; Worthington) were added to the dissociation media. Dissociation was carried out at 37 °C for 1 h. The samples were then triturated, filtered, and spun at 300 × g for 5 min. The pellet was resuspended in trypsin inhibitor solution (dissociation media with 1% BSA and 1% ovomucoid). Following gradient centrifugation (70 × g for 10 min), the cells were washed in dissociation media containing 0.04% BSA and resuspended in dissociation media containing 0.04% BSA and 15% OptiPrep (Sigma). Individual cells were captured and barcoded using the inDrops platform as previously described.30 Briefly, single-cell suspensions were fed into a microfluidic device that packaged the cells with barcoded hydrogel microspheres and reverse transcriptase/lysis reagents. After cell encapsulation, primers were photo-released by UV exposure. Indexed libraries were pooled and sequenced on a NextSeq 500 (Illumina).",10090,single cell isolation by Indrops,"Transcripts were processed according to the pipeline in Macosko et al. (2015). Briefly, this pipeline was used to build a custom transcriptome from Ensembl GRCm38 genome and GRCm38.84 annotation using Bowtie 1.1.1, after filtering the annoatation gtf file (gencode.v17.annotation.gtf filtered for feature_type=îgeneî, gene_type=""""protein_coding"""" and gene_status=""""KNOWN""""). Read quality control and mapping against this transcriptome was performed. Unique molecular identifiers (UMIs) were used to link sequence reads back to individual captured molecules. All steps of the pipeline were run using default parameters unless explicitly stated.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14549244,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_MIA2FE18.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_PBS2ME18.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_PBSBFE14.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_PBSBME14.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_PBSCFE14.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_PBSCME14.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_PBSFE18.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_PBSME18.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_MIA2ME18.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_MIABFE14.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_MIABME14.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_MIACFE14.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_MIACME14.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_MIAFE18.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_MIAME18.counts.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4456nnn/GSM4456522/suppl/GSM4456522_PBS2FE18.counts.tsv.gz,mixed sample (non-demultiplexed),mixed sample (non-demultiplexed),C57Bl6/J,C57Bl6/J,Embryonic days 14 and 18,,
MIA1_RNAseq,GSM4721912,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793978,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721912/suppl/GSM4721912_mature.BK-MIA1.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,Maternal immune activation (MIA),Fetal cortex,missing
MIA2_RNAseq,GSM4721913,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793977,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721913/suppl/GSM4721913_mature.BK-MIA2.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,Maternal immune activation (MIA),Fetal cortex,missing
MIA3_RNAseq,GSM4721914,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793976,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721914/suppl/GSM4721914_mature.BK-MIA3.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,Maternal immune activation (MIA),Fetal cortex,missing
MIA4_RNAseq,GSM4721915,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793980,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721915/suppl/GSM4721915_mature.BK-MIA4.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,Maternal immune activation (MIA),Fetal cortex,missing
MIA6_RNAseq,GSM4721916,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793979,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721916/suppl/GSM4721916_mature.BK-MIA6.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,Maternal immune activation (MIA),Fetal cortex,missing
MIA7_RNAseq,GSM4721917,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793975,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721917/suppl/GSM4721917_mature.BK-MIA7.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,Maternal immune activation (MIA),Fetal cortex,missing
MIA8_RNAseq,GSM4721918,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793974,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721918/suppl/GSM4721918_mature.BK-MIA8.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,Maternal immune activation (MIA),Fetal cortex,missing
PBS1_RNAseq,GSM4721919,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793973,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721919/suppl/GSM4721919_mature.BK-PBS1.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,PBS,Fetal cortex,missing
PBS3_RNAseq,GSM4721920,Public on Nov 09 2020,Aug 11 2020,Nov 10 2020,SRA,1,Fetal cortex,Mus musculus,total RNA,"We employed a modified version of the ribosome profiling protocol described by McGlincy et al. Flash-frozen embryonic brain tissue was thawed in 400 ml lysis buffer (150 mM NaCl, 20 mM Tris, pH 7.4, 5mM MgCl2, 1mM DTT, 100 mg/ml cyclohexamide, 1% v/v Triton X-100, and 25 U/ml Turbo DNase I (ThermoFisher Scientific)). Tissue was pipetted ten times in lysis buffer and incubated for 10 minutes on ice. Tissue was then triturated ten times through a 26-gauge needle. Lysate were clarified by centrifugation for 10 min at 20000 × g at 4°C and supernatant was recovered.",10090,,"RNA-seq and ribosome profiling libraries were analyzed in parallel. Reads were aligned to the mm10 genome using HISAT2 Version 2.1.0. Data was then analyzed by RiboTaper Version 1.3.1a, which confirmed periodicity of ribo-seq data. The RiboTaper script was run using default parameters: 8 cores, read lengths 28, 29, and 30 nucleotides, and an offset value of 12 nucleotides. Htseq Version 0.9.1 was used with default parameters to generate raw counts files from bam files for both RNA-seq and Ribo-seq. Counts were filtered to remove mitochondrial and ribosomal RNAs and differential gene expression analysis was performed using DeSEQ2. For ribosome profiling reads, ribosomal RNA was filtered using Bowtie2, followed by alignment of the non-ribosomal reads to the mm10 genome using HISAT2 Version 2.1.0. Differentially translated ORFs were identified using DeSEQ2.",GPL19057,"Brian,,Kalish",brian.kalish@childrens.harvard.edu,4164275557,Kalish,Neurobiology,Boston Children's Hospital,220 Longwood Ave,Boston,MA,02115,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15793972,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4721nnn/GSM4721920/suppl/GSM4721920_mature.BK-PBS3.htseq.txt.gz,,,,,,,,,,,,,,,,C57Bl6/J,C57Bl6/J,Embryonic day 18,Embryonic day 18,PBS,Fetal cortex,missing
