animal_id,timepoint,condition,region
E14_S_DD_5,E15,saline,excitatory_frontal
E14_S_QQ_2,E15,saline,excitatory_frontal
E14_S_QQ_3,E15,saline,excitatory_frontal
E14_S_QQ_5,E15,saline,excitatory_frontal
E14_P_PP_2,E15,polyIC,excitatory_frontal
E14_P_PP_3,E15,polyIC,excitatory_frontal
E14_P_PP_6,E15,polyIC,excitatory_frontal
E14_P_Q_1,E15,polyIC,excitatory_frontal
E14_P_Q_3,E15,polyIC,excitatory_frontal
P0_P_BB_2,P0,polyIC,excitatory_frontal
P0_P_BB_4,P0,polyIC,excitatory_frontal
P0_P_RR_5,P0,polyIC,excitatory_frontal
P0_P_RR_6,P0,polyIC,excitatory_frontal
P0_P_YY_2,P0,polyIC,excitatory_frontal
P0_P_YY_6,P0,polyIC,excitatory_frontal
P0_P_ZZ_2,P0,polyIC,excitatory_frontal
P0_P_ZZ_4,P0,polyIC,excitatory_frontal
P0_P_ZZ_7,P0,polyIC,excitatory_frontal
P0_S_LL_3,P0,saline,excitatory_frontal
P0_S_LL_4,P0,saline,excitatory_frontal
P0_S_LL_6,P0,saline,excitatory_frontal
P0_S_NN_1,P0,saline,excitatory_frontal
P0_S_NN_4,P0,saline,excitatory_frontal
P0_S_NN_5,P0,saline,excitatory_frontal
P0_S_W_2,P0,saline,excitatory_frontal
P0_S_W_3,P0,saline,excitatory_frontal
P0_S_W_5,P0,saline,excitatory_frontal
P0_S_W_8,P0,saline,excitatory_frontal
P0_S_W_9,P0,saline,excitatory_frontal
P0_P_AM_1,P0,polyIC,excitatory_frontal
P0_P_AO_1,P0,polyIC,excitatory_frontal
P0_P_AQ_6,P0,polyIC,excitatory_frontal
P0_S_AK_2,P0,saline,excitatory_frontal
P0_S_AK_3,P0,saline,excitatory_frontal
P0_P_AM_3,P0,polyIC,excitatory_frontal
P0_P_AQ_5,P0,polyIC,excitatory_frontal
P0_P_OO_5,P0,polyIC,excitatory_frontal
P0_S_AK_1,P0,saline,excitatory_frontal
P0_S_AP_4,P0,saline,excitatory_frontal
P0_S_AR_2,P0,saline,excitatory_frontal
P13_P_EE_1,P13,polyIC,excitatory_frontal
P13_P_EE_2,P13,polyIC,excitatory_frontal
P13_P_O_1,P13,polyIC,excitatory_frontal
P13_P_O_2,P13,polyIC,excitatory_frontal
P13_P_WW_1,P13,polyIC,excitatory_frontal
P13_P_WW_2,P13,polyIC,excitatory_frontal
P13_P_WW_3,P13,polyIC,excitatory_frontal
P13_P_WW_4,P13,polyIC,excitatory_frontal
P13_P_WW_5,P13,polyIC,excitatory_frontal
P13_P_WW_6,P13,polyIC,excitatory_frontal
P13_S_AB_1,P13,saline,excitatory_frontal
P13_S_AB_2,P13,saline,excitatory_frontal
P13_S_AC_1,P13,saline,excitatory_frontal
P13_S_AC_2,P13,saline,excitatory_frontal
P13_S_AC_4,P13,saline,excitatory_frontal
P13_S_GG_1,P13,saline,excitatory_frontal
P13_S_GG_2,P13,saline,excitatory_frontal
P13_S_GG_4,P13,saline,excitatory_frontal
P13_S_HH_1,P13,saline,excitatory_frontal
P13_S_HH_2,P13,saline,excitatory_frontal
P13_S_HH_4,P13,saline,excitatory_frontal
P_E14_A_1,E15,polyIC,whole_cortex
P_E14_A_2,E15,polyIC,whole_cortex
P_E14_A_3,E15,polyIC,whole_cortex
P_E14_B_4,E15,polyIC,whole_cortex
P_E14_B_5,E15,polyIC,whole_cortex
P_E14_B_6,E15,polyIC,whole_cortex
P_E14_B_7,E15,polyIC,whole_cortex
P_E14_B_8,E15,polyIC,whole_cortex
P_E14_B_9,E15,polyIC,whole_cortex
P_P0_C_1,P0,polyIC,whole_cortex
P_P0_C_2,P0,polyIC,whole_cortex
P_P0_C_3,P0,polyIC,whole_cortex
P_P0_C_4,P0,polyIC,whole_cortex
P_P0_E_8,P0,polyIC,whole_cortex
P_P0_E_9,P0,polyIC,whole_cortex
P_P0_F_10,P0,polyIC,whole_cortex
P_P0_F_11,P0,polyIC,whole_cortex
S_E14_G_1,E15,saline,whole_cortex
S_E14_G_2,E15,saline,whole_cortex
S_E14_G_3,E15,saline,whole_cortex
S_E14_G_4,E15,saline,whole_cortex
S_E14_H_5,E15,saline,whole_cortex
S_E14_H_6,E15,saline,whole_cortex
S_P0_I_1,P0,saline,whole_cortex
S_P0_I_2,P0,saline,whole_cortex
S_P0_I_3,P0,saline,whole_cortex
S_P0_I_4,P0,saline,whole_cortex
S_P0_I_5,P0,saline,whole_cortex
S_P0_J_3,P0,saline,whole_cortex
S_P0_J_4,P0,saline,whole_cortex
P_W10_AD_1,P70,polyIC,whole_cortex
P_W10_AD_2,P70,polyIC,whole_cortex
P_W10_AG_1,P70,polyIC,whole_cortex
P_W10_AG_2,P70,polyIC,whole_cortex
P_W10_L_1,P70,polyIC,whole_cortex
S_W10_AE_2,P70,saline,whole_cortex
S_W10_AE_4,P70,saline,whole_cortex
S_W10_AF_1,P70,saline,whole_cortex
S_W10_AF_2,P70,saline,whole_cortex
S_W10_K_1,P70,saline,whole_cortex
S_W10_K_3,P70,saline,whole_cortex
