direction,gene_name,mean_raw_polyIC,mean_raw_saline,mean_raw_overall,log2FC,timepoint,expression_class
Up,Snhg11,636.2,393.0,528.1111111111111,0.6935506371815713,E15,High
Up,Grin2b,5306.6,3881.75,4673.333333333333,0.45098082915036364,E15,High
Down,Mki67,1219.4,2428.5,1756.7777777777778,-0.9933053474259916,E15,High
Down,mt-Rnr1,19444.0,39522.5,28367.777777777777,-1.0233114755376274,E15,High
Up,Rps5,1025.7333333333333,350.125,677.0322580645161,1.5480049041893955,P0,High
Up,Rplp0,982.332,344.186875,652.9667741935484,1.5103009823070415,P0,High
Down,Gm21955,579.8966666666668,925.87375,758.4654838709677,-0.674091290592052,P0,High
Down,9530059O14Rik,476.6,761.4375,623.6129032258065,-0.6748162424215645,P0,High
Up,Egr1,1611.7,861.4545454545455,1218.7142857142858,0.9029577598315509,P13,High
Up,Bhlhe40,1042.0,749.3636363636364,888.7142857142857,0.4750773381500284,P13,High
Down,Gm44769,495.0,556.7272727272727,527.3333333333334,-0.169219699526095,P13,High
Down,Gm26871,793.6,904.5454545454545,851.7142857142857,-0.18855826674605264,P13,High
