gene_name,max_abs_log2FC,weighted_mean_abs_log2FC,n_groups_significant,detected_in_male,detected_in_female,sex_specificity
0610006L08Rik,0.20089110873734148,0.06514853949231698,0,False,False,neither
0610007P14Rik,0.20863448894515396,0.07980520872928168,0,False,False,neither
0610009B22Rik,0.10206950559460018,0.06259356288339477,0,False,False,neither
0610009E02Rik,0.175970484012814,0.12999138031009305,0,False,False,neither
0610009L18Rik,0.3749967360444949,0.18096436107500213,0,False,False,neither
0610009O20Rik,0.48221508057077117,0.24700635041601046,0,False,False,neither
0610010F05Rik,0.2306168292191161,0.13041125567516584,0,False,False,neither
0610010K14Rik,0.17365271888654243,0.1406418446733385,0,False,False,neither
0610011F06Rik,0.2281785237003672,0.11829297951416895,0,False,False,neither
0610012D04Rik,0.3284222783744852,0.22864221384867647,0,False,False,neither
0610012G03Rik,0.2863870847668393,0.1159047894132634,0,False,False,neither
0610025J13Rik,0.15920109244470312,0.05865813531013754,0,False,False,neither
0610030E20Rik,0.18130197931883482,0.08825413426440838,0,False,False,neither
0610031O16Rik,0.537623862228507,0.356414196051811,1,True,False,male_only
0610033M10Rik,0.2976407182206359,0.21585048582312427,0,False,False,neither
0610037L13Rik,0.12491795643152806,0.07781077910764848,0,False,False,neither
0610038B21Rik,0.22649219420649078,0.11541560943707797,0,False,False,neither
0610040B10Rik,0.3759661779576994,0.24060603056575916,0,False,False,neither
0610040F04Rik,0.1743343015903433,0.10647738248357547,0,False,False,neither
0610040J01Rik,0.36567504487258784,0.20667670160039608,0,False,False,neither
0610043K17Rik,0.2583065802999888,0.104936692544418,0,False,False,neither
1010001B22Rik,0.09001448100829461,0.06961757000512221,0,False,False,neither
1010001N08Rik,0.5911857989948386,0.24625468973882553,1,True,False,male_only
1110001J03Rik,0.5815117611393906,0.19713953609894824,1,True,False,male_only
1110002J07Rik,0.23569889056556295,0.14256572928060607,0,False,False,neither
1110002L01Rik,0.13365086863325287,0.09728988298830933,0,False,False,neither
1110002O04Rik,0.11549407406595998,0.08529882892955257,0,False,False,neither
1110004E09Rik,0.20508553515448563,0.09880062676364473,0,False,False,neither
1110004F10Rik,0.34962494559742024,0.1751243623518927,0,False,False,neither
1110008F13Rik,0.142938980787577,0.09653301538397331,0,False,False,neither
1110008L16Rik,0.16244014942442914,0.09911168668384196,0,False,False,neither
1110008P14Rik,0.3318520617222555,0.17268997508718495,0,False,False,neither
1110012L19Rik,0.31466390258027555,0.18825910257062228,0,False,False,neither
1110017D15Rik,0.6203374820978947,0.2971191268181337,1,True,False,male_only
1110018N20Rik,0.10442363992703413,0.049758241903233705,0,False,False,neither
1110019D14Rik,0.2435779290970678,0.13221677291519915,0,False,False,neither
1110020A21Rik,0.2966841531290547,0.2057326863077409,0,False,False,neither
1110025L11Rik,0.1172365186002532,0.07468694841126937,0,False,False,neither
1110028F11Rik,0.4747887280738394,0.1909020342073013,0,False,False,neither
1110028F18Rik,0.16828600208331398,0.08649764590067424,0,False,False,neither
1110032A03Rik,0.16306476012134902,0.11253634390854833,0,False,False,neither
1110032F04Rik,0.18859617775537246,0.1257511666708443,0,False,False,neither
1110034G24Rik,0.22164695746121457,0.14838454408010912,0,False,False,neither
1110036E04Rik,0.15131732977545828,0.08944895193348908,0,False,False,neither
1110037F02Rik,0.12825751676531705,0.06475215790743802,0,False,False,neither
1110038B12Rik,0.12476345657925944,0.08736502544317598,0,False,False,neither
1110038F14Rik,0.218770986877148,0.1307080305157113,0,False,False,neither
