rank,gene_name,perturbation_E15,transferability,rank_score,perturbation_P0,perturbation_P13,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
1,mt-Atp6,1.0,0.76941264,0.76941264,0.53041816,0.7859501,0.33415404,0.5326366,1.0,0.51279724,0.49820742
2,mt-Co3,0.77429754,0.9281066,0.7186307,0.5199365,0.44997472,0.21869574,0.59275347,1.0,0.3506926,0.5287181
3,Gm28661,0.81017035,0.7764385,0.62904745,0.110460475,0.27511492,0.544784,0.5694096,0.0,0.9465928,0.89963126
4,Zfp36l1,0.5873637,0.935736,0.54961735,0.016688045,0.16700242,0.35562405,0.41231558,1.0,0.6782836,0.35009763
5,Ebf2,0.51978046,0.9821261,0.51048994,0.013597464,0.110000424,0.45650142,0.42040095,1.0,0.89515084,0.109446704
6,Pax6,0.54278433,0.9267658,0.50303394,0.09592948,0.05064726,0.30185327,0.31443855,1.0,0.67057997,0.31801948
7,Gli3,0.513645,0.97331977,0.4999408,0.14054501,0.10338459,0.2759876,0.34577376,1.0,0.6101627,0.3359453
8,Sox21,0.498848,0.97857773,0.48816153,0.20094521,0.042454172,0.32237604,0.41773584,1.0,0.55352485,0.28042698
9,Nr2e1,0.49551946,0.98329973,0.48724416,0.18750873,0.045822084,0.3436116,0.395292,1.0,0.69304764,0.34210163
10,Aspm,0.49388868,0.97725356,0.48265445,0.09869247,0.08369331,0.2932055,0.21370204,1.0,0.32114744,0.23617989
11,Kndc1,0.5016463,0.94835997,0.47574124,0.44318148,0.01689096,0.76271355,0.61859584,1.0,0.3726158,0.36006042
12,Notch1,0.4983689,0.9489193,0.47291186,0.048595436,0.11081634,0.34823927,0.34703302,1.0,0.92449623,0.43607223
13,Rmrp,0.51261353,0.9165351,0.46982828,0.30710492,0.03288885,0.25002563,0.5379253,1.0,0.22125106,0.008704736
14,Col2a1,0.5322124,0.88213724,0.46948436,0.06536785,0.07417967,0.3537886,0.2355211,1.0,0.23903595,0.2177357
15,Arhgap28,0.47011158,0.9986631,0.4694831,0.07604379,0.014282244,0.40254462,0.30527875,1.0,0.43922573,0.17086303
16,Gas1,0.5737027,0.8070473,0.46300521,0.16642313,0.028877722,0.37814978,0.35974014,1.0,0.6812021,0.3032765
17,Kif18b,0.48142287,0.9607781,0.46254057,0.20336735,0.04401598,0.34047434,0.26430902,1.0,0.421725,0.16965064
18,Uhrf1,0.47213137,0.97450346,0.46009365,0.20387132,0.04462257,0.30819035,0.19266221,1.0,0.22264947,0.2627666
19,E2f8,0.4664578,0.968184,0.451617,0.021814734,0.049314264,0.34300116,0.31461632,1.0,0.6458988,0.15089038
20,Gm26982,0.5006816,0.90144926,0.45133904,0.021043032,0.10239148,0.61139834,0.4805494,1.0,0.6483157,0.13593507
21,Nek2,0.4851747,0.92927086,0.4508587,0.053460617,0.059034258,0.41664442,0.32373315,1.0,0.48820752,0.173068
22,Grin3a,0.49511418,0.9100577,0.45058247,0.063136116,0.037463002,0.6308549,0.49234965,1.0,0.9086943,0.3840837
23,Ccnb1,0.4571043,0.9782663,0.44716972,0.21816239,0.041853786,0.28520253,0.23587658,1.0,0.37915584,0.2757902
24,Hmmr,0.45151335,0.9804334,0.44267878,0.15302691,0.1281029,0.3569233,0.30699122,1.0,0.5850241,0.20498419
25,Ect2,0.4539571,0.97112596,0.44084954,0.06824281,0.020656178,0.37543195,0.2455708,1.0,0.28124022,0.2112754
26,Chrna4,0.4516368,0.96609795,0.43632537,0.084935844,0.024645267,0.70785296,0.57835245,1.0,0.5253361,0.31185517
27,Snhg11,0.49542847,0.8734241,0.43271917,0.6056716,0.018551104,0.98323566,0.67600214,1.0,0.08041934,0.5376285
28,Zfp365,0.4333613,0.9973654,0.43221956,0.035971824,0.06421695,0.7910395,0.83962923,1.0,0.26435417,0.39412895
29,Mki67,0.43755484,0.98733723,0.43201417,0.06088617,0.06672276,0.2630664,0.10236304,1.0,0.13822366,0.36681208
30,Cadps2,0.43052033,0.9747535,0.41965118,0.28737733,0.067952655,0.7704351,0.6682957,1.0,0.48378494,0.33945835
31,Ampd3,0.44821793,0.93376136,0.4185286,0.08954009,0.05358936,0.6992605,0.5871761,1.0,0.5686312,0.22112168
32,Nek7,0.44269213,0.9345735,0.41372833,0.061408434,0.051810637,0.54626614,0.60533583,1.0,0.8762656,0.3017315
33,Top2a,0.41680354,0.988034,0.41181606,0.14219646,0.13561624,0.16184883,0.10465135,1.0,0.21339267,0.34885082
34,Cyp26b1,0.42141917,0.9770847,0.41176224,0.21270324,0.13585888,0.62379676,0.47550616,1.0,0.74660856,0.27002817
35,Caln1,0.41798243,0.9795366,0.40942907,0.050900552,0.03908169,0.6185598,0.56612283,1.0,0.8685716,0.4958325
36,Exo1,0.46694311,0.8733726,0.40781534,0.38484174,0.10407054,0.4182264,0.3322904,1.0,0.45996296,0.16043042
37,Dsn1,0.49746868,0.8193132,0.40758267,0.20992844,0.028865488,0.4184653,0.3947987,1.0,0.7497079,0.20125243
38,Birc5,0.4287833,0.9443312,0.40491346,0.051324308,0.094084196,0.41660285,0.28581852,1.0,0.32261202,0.18679816
39,Rhbdf1,0.4286622,0.9440019,0.40465796,0.19007726,0.011038407,0.5640571,0.43988156,1.0,0.9634715,0.2625298
40,Rn7sk,0.5084414,0.7949313,0.40417597,0.45588905,0.075250596,0.22436593,0.63553476,1.0,0.28000793,0.12294223
41,Dbpht2,0.4104849,0.98459315,0.40416062,0.042373348,0.016939353,0.75451356,0.5989483,1.0,0.30757836,0.24850029
42,Sox6,0.41444197,0.9740555,0.4036895,0.1099848,0.15447818,0.37842014,0.3740356,1.0,0.9991113,0.4038475
43,Dlx2,0.4222101,0.9559935,0.4036301,0.1322237,0.081672676,0.36387807,0.31276265,1.0,0.59380865,0.2998531
44,Kif20a,0.41464722,0.97264296,0.4033037,0.051877547,0.0040316847,0.33470902,0.23628098,1.0,0.27236828,0.22350676
45,Prox1,0.45929235,0.87284374,0.40089047,0.021725241,0.066957794,0.49433288,0.4385313,1.0,0.89240324,0.27642727
46,Kif11,0.4058736,0.98221487,0.3986551,0.15646277,0.03855768,0.30191997,0.22878751,1.0,0.33825275,0.29590693
47,Emx2,0.42425457,0.9371721,0.39759955,0.14644447,0.22987542,0.39584854,0.43444905,1.0,0.90967566,0.28238943
48,Neurog2,0.40001866,0.9928036,0.39713997,0.065772526,0.0015643241,0.21184723,0.22611053,1.0,0.3414351,0.24088119
49,Ncaph,0.4323502,0.9172572,0.39657632,0.32805046,0.020560114,0.33492488,0.27604058,1.0,0.41778362,0.22138155
50,Nts,0.418676,0.945036,0.3956639,0.81107694,0.103455186,0.39571375,0.2537593,1.0,0.30328012,0.2168926
