rank,gene_name,perturbation_P0,transferability,rank_score,perturbation_E15,perturbation_P13,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
1,Npas4,0.97264016,0.95604676,0.9298895,0.09339636,0.37091878,0.75962794,0.66940546,1.0,0.5410228,0.19125587
2,Styk1,0.9140837,0.96246135,0.8797703,0.098624595,0.041968923,0.4354239,0.39936045,1.0,0.51864094,0.06367338
3,Zfhx3,0.8460213,0.98106694,0.8300035,0.059847873,0.085210286,0.3627859,0.41274467,1.0,0.9028482,0.18995956
4,Nts,0.81107694,0.945036,0.7664969,0.418676,0.103455186,0.39571375,0.2537593,1.0,0.30328012,0.2168926
5,L3mbtl4,0.76288116,0.9858369,0.7520764,0.020624569,0.016367251,0.58636236,0.45601168,1.0,0.49318278,0.029161628
6,Cntnap5c,0.7501858,0.94436246,0.7084473,0.088514626,0.008654399,0.62536067,0.5072679,1.0,0.4315707,0.1339764
7,Kcnh4,0.7273691,0.9629213,0.7003992,0.11126539,0.105829716,0.6717958,0.52476144,1.0,0.34929743,0.26707852
8,Scn9a,0.7044474,0.98506653,0.6939275,0.20814562,0.06064825,0.52065414,0.33671924,1.0,0.6152364,0.17653798
9,Rpl36,0.70153636,0.9867442,0.69223696,0.068796866,0.03756175,0.24761869,0.44318697,1.0,0.29111165,0.46405724
10,Lama3,0.73347276,0.9379637,0.6879708,0.064251445,0.18085006,0.5392166,0.58294463,1.0,0.8128052,0.117542304
11,Ntng1,0.7423543,0.9174566,0.68107784,0.19107583,0.07153161,0.69882286,0.56843895,1.0,0.5559301,0.22705926
12,Gpr146,0.75213593,0.9043449,0.6801903,0.13105987,0.03376399,0.6340329,0.6537756,1.0,0.71007234,0.16041377
13,Trim16,0.761157,0.89170647,0.6787286,0.07732205,0.19640225,0.48753956,0.43110582,1.0,0.81732696,0.13021432
14,Pcdhga10,0.75109845,0.90154785,0.6771512,0.37971184,0.034731347,0.48662674,0.48426116,1.0,0.94187826,0.28106374
15,mt-Co2,0.7259076,0.91392475,0.66342497,0.24814714,0.12867072,0.30109537,0.64707536,1.0,0.57784975,0.43171418
16,Hmgb2,0.6707258,0.98217875,0.65877265,0.31617248,0.0033148946,0.24350534,0.21355167,1.0,0.43437168,0.35035592
17,Alk,0.6786885,0.95678014,0.6493557,0.039831802,0.030870397,0.5626287,0.526071,1.0,0.72067857,0.15125433
18,Rpl18a,0.6463881,0.9859095,0.63728017,0.071867585,0.1358583,0.23856126,0.41264948,1.0,0.3326247,0.5894513
19,Zbtb40,0.9030438,0.70268136,0.63455206,0.009021059,0.041596998,0.4530635,0.46233398,1.0,0.98863286,0.2682009
20,Adgrg6,0.67680687,0.9364011,0.6337627,0.10066004,0.19694312,0.63378394,0.5571519,1.0,0.5642707,0.0910776
21,Tacr1,0.6399718,0.9866345,0.6314182,0.15455033,0.013069484,0.6095441,0.4536362,1.0,0.54551417,0.11221006
22,Ubb,0.6409432,0.95906836,0.61470836,0.047568012,0.10362394,0.34041852,0.46698034,1.0,0.49394718,0.79539204
23,Runx2,0.6102445,0.9993647,0.6098568,0.0331413,0.0719428,0.76027924,0.586289,1.0,0.29060408,0.11493514
24,Sgcd,0.62566704,0.9730422,0.6088004,0.109146595,0.08835712,0.62634474,0.48006976,1.0,0.6166543,0.068383306
25,Plcxd3,0.69716865,0.87100476,0.6072372,0.0464241,0.009596363,0.5423672,0.49799,1.0,0.9315374,0.17395364
26,Gm1043,0.7470086,0.8084784,0.60394037,0.17134365,0.0035476582,0.56970376,0.4840215,1.0,0.84403116,0.26037204
27,Klhl1,0.62349725,0.9670111,0.60292876,0.020945607,0.0059284647,0.6334499,0.49072874,1.0,0.47763023,0.14776805
28,Ngfr,0.6259877,0.95886004,0.6002346,0.0431555,0.1373766,0.22264163,0.2827904,1.0,0.6784847,0.20681229
29,Oprk1,0.8134852,0.72251225,0.587753,0.03510215,0.010997483,0.8370189,0.62542796,1.0,0.2354277,0.08560464
30,Fzd7,0.62047565,0.9466593,0.58737904,0.0977122,0.058158573,0.36643937,0.40940878,1.0,0.83558035,0.22804564
31,Nbeal2,0.5802047,0.99366456,0.57652885,0.005854802,0.015572472,0.6073914,0.47325924,1.0,0.53515434,0.23872958
32,A930011G23Rik,0.77300686,0.74538964,0.5761913,0.21929064,0.03891257,0.63075334,0.45640525,1.0,0.68454623,0.089720115
33,Rps24,0.5773783,0.9898586,0.5715229,0.10965059,0.04779968,0.27391768,0.43525824,1.0,0.3900786,0.5771867
34,L3mbtl1,0.5875415,0.96875733,0.56918514,0.18533929,0.016184947,0.8102074,0.56479627,1.0,0.23870562,0.1311461
