rank,gene_name,perturbation_P13,transferability,rank_score,perturbation_E15,perturbation_P0,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
1,Gm26825,1.0,0.9133102,0.9133102,0.047966372,0.12853965,0.5512356,0.6707989,1.0,0.4623882,0.11132498
2,Fosb,0.65567505,0.98689616,0.64708316,0.0010920343,0.0356723,0.6050199,0.70407355,1.0,0.39554298,0.0990906
3,Gm27000,0.7085678,0.8564133,0.6068269,0.03356383,0.44157693,0.67890656,0.5685368,1.0,0.60417044,0.12326523
4,mt-Atp6,0.7859501,0.76941264,0.60471994,1.0,0.53041816,0.33415404,0.5326366,1.0,0.51279724,0.49820742
5,Gm13304,0.5849097,0.9098423,0.5321756,0.10972654,0.11929665,0.7027582,0.65908104,1.0,0.85576946,0.15597333
6,Egr2,0.48135555,0.9883831,0.4757637,0.050954953,0.036419075,0.6566311,0.66017586,1.0,0.6785976,0.107151985
7,Dnah6,0.58039814,0.7895731,0.45826674,0.03529635,0.25672168,0.68632483,0.4445577,1.0,0.5120505,0.05490451
8,Fos,0.47853336,0.9532991,0.45618543,0.0798119,0.041147888,0.70143884,0.71812326,1.0,0.56251895,0.1816965
9,Gm21541,0.46411878,0.9346275,0.43377817,0.022523558,0.15978523,0.5620089,0.5557036,1.0,0.87958366,0.09071092
10,BC037039,0.45462006,0.9339841,0.4246079,0.015524335,0.0075820764,0.4822295,0.37518594,1.0,0.6771971,0.1323561
11,mt-Co3,0.44997472,0.9281066,0.4176245,0.77429754,0.5199365,0.21869574,0.59275347,1.0,0.3506926,0.5287181
12,Gm14440,0.44548902,0.89076763,0.3968272,0.15165666,0.5477305,0.5258843,0.35187763,1.0,0.58885384,0.08937957
13,Egr1,0.38802594,0.9838267,0.3817503,0.09347092,0.29303935,0.89987683,0.7992218,1.0,0.59541446,0.34557873
14,Cyr61,0.39314657,0.9648387,0.37932304,0.17475595,0.01722049,0.48862302,0.4592468,1.0,0.8482425,0.20400727
15,Arc,0.575369,0.639071,0.36770165,0.23763976,0.019250082,0.80047524,0.8247602,1.0,0.37837636,0.2886122
16,Btg2,0.36544728,0.99934745,0.3652088,0.22341233,0.08140953,0.48445007,0.47044402,1.0,0.91628367,0.33781347
17,Xlr3b,0.38048947,0.94426227,0.35928184,0.097066924,0.31138107,0.49948654,0.4436937,1.0,0.83220756,0.18665521
18,Npas4,0.37091878,0.95604676,0.3546157,0.09339636,0.97264016,0.75962794,0.66940546,1.0,0.5410228,0.19125587
19,Gm10925,0.62012374,0.5654839,0.35067,0.3351055,0.040166352,0.39609867,0.5191896,1.0,0.82135093,0.89899105
20,Caps2,0.34556508,0.99590766,0.3441509,0.03762079,0.148678,0.5366251,0.45658252,1.0,0.9382346,0.021554358
21,Dusp1,0.3349359,0.9973129,0.3340359,0.062187266,0.20903416,0.4855271,0.52097034,1.0,0.9598411,0.34437755
22,Hyal2,0.31238133,0.9968308,0.31139132,0.10972148,0.0016728117,0.33673102,0.36187094,1.0,0.98618484,0.32053366
23,Gm28437,0.40245828,0.7725046,0.3109009,0.23858589,0.17696877,0.5227032,0.5499939,1.0,0.92002445,0.91021186
24,Gm14412,0.37327117,0.8056832,0.3007383,0.06891254,0.048775062,0.5925115,0.55691224,1.0,0.9195151,0.043877415
25,Ier2,0.302473,0.9936636,0.30055642,0.05062706,0.20186017,0.4717661,0.5074377,1.0,0.9443922,0.22515205
26,Gm28800,0.3026363,0.96806765,0.29297242,0.07540376,0.0044526113,0.5771841,0.58194435,1.0,0.87222725,0.07122841
27,Igfbp2,0.2885933,0.99988675,0.2885606,0.08073214,0.120761596,0.24040973,0.3813962,1.0,0.40834895,0.45101154
28,Mrpl14,0.28930318,0.9773609,0.28275362,0.039988067,0.048819687,0.4326423,0.46599787,1.0,0.85153437,0.26389068
29,A830036E02Rik,0.28329998,0.9968406,0.28240493,0.27258578,0.30080748,0.8942745,0.6921571,1.0,0.22599322,0.22953658
30,9830147E19Rik,0.29324684,0.95226806,0.2792496,0.06690271,0.046037763,0.5109125,0.42876238,1.0,0.8496928,0.14279653
31,Dll1,0.27631837,0.99309206,0.2744096,0.1837335,0.09902815,0.3123049,0.29428333,1.0,0.6076574,0.29481018
32,Slc25a18,0.26884946,0.9992116,0.2686375,0.016382573,0.028529428,0.52095515,0.73239946,1.0,0.23018587,0.21958087
33,Gm14421,0.27091697,0.9893087,0.2680205,0.07444921,0.22649506,0.46287683,0.47871792,1.0,0.99245757,0.11855141
34,Gm20754,0.26893905,0.98354393,0.26451337,0.10486667,0.10638862,0.61165696,0.4998614,1.0,0.7611837,0.033018287
35,Rep15,0.28143552,0.92837363,0.26127732,0.13906732,0.24221732,0.6192513,0.49803564,1.0,0.701976,0.025590751
36,Zfp869,0.27465388,0.94215024,0.25876522,0.017710006,0.18466087,0.50926393,0.45705202,1.0,0.9712572,0.27070948
37,Gm10125,0.3083354,0.8249269,0.25435418,0.19537906,0.097257584,0.64382166,0.54397994,1.0,0.66958505,0.09962428
38,Hps6,0.26137155,0.97022104,0.25358817,0.08961378,0.041383997,0.49618006,0.55856067,1.0,0.89812136,0.13654919
39,Pafah1b3,0.25668976,0.9859947,0.25309473,0.050038986,0.05930943,0.26195446,0.26193225,1.0,0.7009453,0.4084974
40,Olig2,0.25375023,0.99488693,0.2524528,0.19492696,0.15982418,0.49673843,0.5225625,1.0,0.77385616,0.2755841
41,Gm9958,0.29471293,0.85292715,0.25136867,0.19887455,0.22613989,0.42275628,0.44731376,1.0,0.96081746,0.060551975
42,Ctgf,0.25336578,0.98721683,0.25012696,0.04722826,0.14940135,0.6515426,0.5950945,1.0,0.73702484,0.2324424
43,Pou3f4,0.25147757,0.99138135,0.24931017,0.12957123,0.17784975,0.3864174,0.3852559,1.0,0.8367842,0.23263998
44,Smo,0.2560195,0.9732371,0.24916768,0.21977206,0.13432816,0.255109,0.35881734,1.0,0.57558495,0.33994174
45,Dctd,0.24761987,0.9884303,0.24475498,0.010406156,0.061075006,0.4201951,0.39176765,1.0,0.9263572,0.25708127
46,6430573P05Rik,0.2953254,0.8269306,0.24421361,0.11740094,0.1618304,0.5076338,0.50774056,0.0,0.9931015,0.022412099
47,Zfp788,0.24482878,0.9959075,0.2438268,0.002303132,0.0041561886,0.5056892,0.47341213,1.0,0.98323685,0.35112303
48,Megf10,0.24718514,0.9852503,0.24353923,0.33113444,0.20012155,0.29916248,0.47127503,1.0,0.45932177,0.32144848
49,Syce2,0.24221925,0.9972743,0.24155903,0.031998973,0.22546244,0.38046446,0.28741115,1.0,0.46086434,0.22165947
50,Egr3,0.2542649,0.9472932,0.24086341,0.18218508,0.15165208,0.7040381,0.75004864,1.0,0.38525644,0.23875128
