gene_name,slope_divergence_E15,slope_divergence_P0,slope_divergence_P13,predicted_divergence_P3,predicted_divergence_P7,fit_type,R2,R2_linear,CI_lower_P3,CI_upper_P3,CI_lower_P7,CI_upper_P7,rank_score_P3,rank_score_P7
Snhg11,0.49542847,0.6056716,0.018551104,0.5264458159230769,0.36829878007692307,quadratic,1.0,0.542959072807566,0.5264458159230767,0.5264458159230775,0.36829878007692285,0.3682987800769234,0.5264458159230769,0.36829878007692307
Scn9a,0.20814562,0.7044474,0.06064825,0.6443888620329669,0.48170101453846137,quadratic,1.0,0.03177805640855558,0.6443888620329669,0.6443888620329673,0.48170101453846126,0.4817010145384617,0.6443888620329669,0.48170101453846137
Rpl18a,0.071867585,0.6463881,0.1358583,0.6116873422802199,0.4878467745769231,quadratic,1.0,0.02031292037001886,0.6116873422802196,0.6116873422802204,0.4878467745769227,0.4878467745769234,0.6116873422802199,0.4878467745769231
Lrp1b,0.24229194,0.54283345,0.04890165,0.49102510401098926,0.363916454846154,quadratic,1.0,0.12263964936579164,0.4910251040109891,0.49102510401098953,0.36391645484615376,0.3639164548461542,0.49102510401098926,0.363916454846154
Trpm3,0.25362954,0.48314503,0.08151216,0.43995609527472535,0.33617498015384606,quadratic,1.0,0.1516890369589291,0.4399560952747251,0.43995609527472573,0.3361749801538459,0.33617498015384634,0.43995609527472535,0.33617498015384606
Grin2a,0.3921582,0.36652714,0.03898228,0.31610453010989015,0.22538736246153848,quadratic,1.0,0.7704116661406837,0.31610453010989004,0.31610453010989037,0.22538736246153834,0.2253873624615386,0.31610453010989015,0.22538736246153848
A930011G23Rik,0.21929064,0.77300686,0.03891257,0.7036539206043958,0.5178001285384616,quadratic,1.0,0.03822774868397005,0.7036539206043956,0.7036539206043969,0.5178001285384611,0.5178001285384624,0.7036539206043958,0.5178001285384616
Ubb,0.047568012,0.6409432,0.10362394,0.6036149440879122,0.4729533395692307,quadratic,1.0,0.016011058721992155,0.603614944087912,0.6036149440879125,0.47295333956923064,0.47295333956923097,0.6036149440879122,0.4729533395692307
Arpp21,0.21324036,0.51517034,0.035213336,0.46553435446153857,0.3423046055384616,quadratic,1.0,0.10773332581247286,0.4655343544615383,0.46553435446153896,0.3423046055384612,0.3423046055384618,0.46553435446153857,0.3423046055384616
Pex5l,0.3292958,0.37943247,0.039741598,0.3326199599230768,0.24073076807692295,quadratic,1.0,0.5830574161171652,0.3326199599230768,0.33261995992307714,0.24073076807692295,0.24073076807692315,0.3326199599230768,0.24073076807692295
Slc16a7,0.20785345,0.50843924,0.06082359,0.4635051340659341,0.349121967076923,quadratic,1.0,0.08005159012485774,0.4635051340659341,0.4635051340659347,0.34912196707692295,0.34912196707692333,0.4635051340659341,0.349121967076923
Dlgap2,0.16555248,0.54009295,0.05061319,0.49423071148351666,0.37045940623076934,quadratic,1.0,0.03392453335679835,0.4942307114835163,0.49423071148351705,0.370459406230769,0.3704594062307696,0.49423071148351666,0.37045940623076934
Gpr158,0.3117831,0.38360006,0.035780612,0.3371302544175825,0.24362737415384617,quadratic,1.0,0.5237551048377197,0.3371302544175824,0.3371302544175825,0.24362737415384603,0.2436273741538462,0.3371302544175825,0.24362737415384617
Unc80,0.11146924,0.57102054,0.00832528,0.5203688635164837,0.3789122907692309,quadratic,1.0,0.017270747374769302,0.5203688635164835,0.5203688635164841,0.37891229076923055,0.37891229076923116,0.5203688635164837,0.3789122907692309
Rps5,0.07399328,0.5732643,0.0452431,0.5305937003296703,0.39979781738461534,quadratic,1.0,5.2126786054595975e-05,0.5305937003296703,0.5305937003296709,0.3997978173846153,0.39979781738461573,0.5305937003296703,0.39979781738461534
Pfkp,0.20571959,0.4519335,0.029473353,0.40684754868681317,0.29782175188461535,quadratic,1.0,0.1424762618459181,0.40684754868681305,0.40684754868681344,0.2978217518846151,0.2978217518846155,0.40684754868681317,0.29782175188461535
Syn3,0.28325686,0.5127715,0.03390856,0.4581252963736264,0.33312710476923074,quadratic,1.0,0.23516386970528702,0.4581252963736263,0.45812529637362687,0.33312710476923063,0.33312710476923113,0.4581252963736264,0.33312710476923074
Grin2b,0.30892769,0.3106365,0.05471725,0.27279251527472537,0.20253385215384617,quadratic,1.0,0.7082368221267688,0.27279251527472526,0.27279251527472564,0.202533852153846,0.2025338521538464,0.27279251527472537,0.20253385215384617
Gapdh,0.09679991,0.4870175,0.075423814,0.4538295832307694,0.35190346876923084,quadratic,1.0,2.4278390220788815e-05,0.4538295832307693,0.45382958323076983,0.3519034687692306,0.3519034687692311,0.4538295832307694,0.35190346876923084
Phf24,0.0941955,0.4971405,0.04688644,0.4591263537362638,0.3469428976923077,quadratic,1.0,0.002970675356064989,0.45912635373626365,0.45912635373626404,0.3469428976923075,0.34694289769230785,0.4591263537362638,0.3469428976923077
Vsnl1,0.24911872,0.26499063,0.12386921,0.24518874258241768,0.20687260484615388,quadratic,1.0,0.6166568321566779,0.24518874258241755,0.24518874258241782,0.20687260484615375,0.206872604846154,0.24518874258241768,0.20687260484615388
Bhlhe40,0.23690349,0.21939397,0.17030063,0.2108602120879121,0.19687275876923077,quadratic,1.0,0.9078360743599382,0.21086021208791209,0.21086021208791222,0.19687275876923072,0.19687275876923085,0.2108602120879121,0.19687275876923077
H2afz,0.2626256,0.33331618,0.02898651,0.2932176989560441,0.21163037761538472,quadratic,1.0,0.49679924025952593,0.293217698956044,0.2932176989560445,0.2116303776153845,0.21163037761538497,0.2932176989560441,0.21163037761538472
Cobl,0.16150726,0.40305763,0.05036142,0.36798816373626386,0.27799503969230777,quadratic,1.0,0.07221470776603744,0.36798816373626364,0.36798816373626403,0.27799503969230754,0.2779950396923079,0.36798816373626386,0.27799503969230777
Npm1,0.11470189,0.36577308,0.15002695,0.3517004424175824,0.29960299015384606,quadratic,1.0,0.029138819694069396,0.35170044241758236,0.3517004424175827,0.29960299015384595,0.2996029901538463,0.3517004424175824,0.29960299015384606
H3f3b,0.06348439,0.5797288,0.07588134,0.5418567995054946,0.41818700792307695,quadratic,1.0,0.0038715588739324236,0.5418567995054945,0.5418567995054951,0.41818700792307667,0.4181870079230774,0.5418567995054946,0.41818700792307695
Rpsa,0.13374221,0.35918346,0.118885785,0.3396378502472527,0.2800631840384614,quadratic,1.0,0.00019537035863370633,0.3396378502472527,0.339637850247253,0.2800631840384614,0.28006318403846175,0.3396378502472527,0.2800631840384614
Trank1,0.35642102,0.2180469,0.04062162,0.16386692645161283,0.11896192258064509,linear,0.9873994924887357,0.9873994924887357,0.1528841296774193,0.18436814709677404,0.10797912580645154,0.1394631432258063,0.16180212001401148,0.11746294198161322
Rpl13,0.07238861,0.4727562,0.057358652,0.43972897403296723,0.3370478425384616,quadratic,1.0,8.676360872617028e-05,0.4397289740329671,0.4397289740329678,0.3370478425384614,0.337047842538462,0.43972897403296723,0.3370478425384616
Sntg1,0.042036373,0.51645935,0.051195417,0.4813240341208792,0.3670592145076923,quadratic,1.0,0.003371406613160488,0.4813240341208791,0.4813240341208797,0.36705921450769213,0.3670592145076927,0.4813240341208792,0.3670592145076923
Actb,0.042672582,0.48472401,0.092391014,0.4580958653406594,0.36294211603076926,quadratic,1.0,0.020609963073034976,0.4580958653406593,0.45809586534065955,0.36294211603076915,0.36294211603076937,0.4580958653406594,0.36294211603076926
Pcdh15,0.16126125,0.39168987,0.03729499,0.35557399252747257,0.2647964366153846,quadratic,1.0,0.09343976894559869,0.3555739925274725,0.35557399252747296,0.26479643661538443,0.2647964366153849,0.35557399252747257,0.2647964366153846
Sptbn4,0.14123593,0.44860062,0.0064785876,0.4049657084351649,0.2922854599076923,quadratic,1.0,0.06643188457888849,0.4049657084351648,0.4049657084351651,0.2922854599076921,0.2922854599076925,0.4049657084351649,0.2922854599076923
Ablim2,0.10830375,0.46551186,0.020117903,0.424951797313187,0.31279676611538465,quadratic,1.0,0.021408666743808702,0.4249517973131868,0.4249517973131874,0.3127967661153843,0.312796766115385,0.424951797313187,0.31279676611538465
Rplp0,0.13306817,0.40744716,0.05238311,0.3743713221978022,0.2846656532307692,quadratic,1.0,0.031094368344972034,0.3743713221978022,0.3743713221978026,0.2846656532307692,0.2846656532307695,0.3743713221978022,0.2846656532307692
Gabrb1,0.26370737,0.3133467,0.008676658,0.27169406349450564,0.18941176907692317,quadratic,1.0,0.5679500380481192,0.2716940634945056,0.27169406349450576,0.1894117690769231,0.18941176907692325,0.27169406349450564,0.18941176907692317
Pcnx2,0.06985015,0.5375049,0.0013372911,0.491367462141209,0.35743023277307706,quadratic,1.0,0.005833806973900901,0.49136746214120863,0.4913674621412095,0.3574302327730766,0.3574302327730774,0.491367462141209,0.35743023277307706
