gene_name,slope_divergence_E15,slope_divergence_P0,slope_divergence_P13,predicted_divergence_P3,predicted_divergence_P7,fit_type,R2,R2_linear,CI_lower_P3,CI_upper_P3,CI_lower_P7,CI_upper_P7,rank_score_P3,rank_score_P7
Fyco1,0.09155679,0.765886,0.037553556,0.7060030535274726,0.5251782716153846,quadratic,1.0,0.000643517127361104,0.7060030535274725,0.7060030535274735,0.5251782716153844,0.5251782716153853,0.7060030535274726,0.5251782716153846
A930011G23Rik,0.21929064,0.77300686,0.03891257,0.7036539206043958,0.5178001285384616,quadratic,1.0,0.03822774868397005,0.7036539206043956,0.7036539206043969,0.5178001285384611,0.5178001285384624,0.7036539206043958,0.5178001285384616
Rpl18a,0.071867585,0.6463881,0.1358583,0.6116873422802199,0.4878467745769231,quadratic,1.0,0.02031292037001886,0.6116873422802196,0.6116873422802204,0.4878467745769227,0.4878467745769234,0.6116873422802199,0.4878467745769231
Scn9a,0.20814562,0.7044474,0.06064825,0.6443888620329669,0.48170101453846137,quadratic,1.0,0.03177805640855558,0.6443888620329669,0.6443888620329673,0.48170101453846126,0.4817010145384617,0.6443888620329669,0.48170101453846137
Ubb,0.047568012,0.6409432,0.10362394,0.6036149440879122,0.4729533395692307,quadratic,1.0,0.016011058721992155,0.603614944087912,0.6036149440879125,0.47295333956923064,0.47295333956923097,0.6036149440879122,0.4729533395692307
H3f3b,0.06348439,0.5797288,0.07588134,0.5418567995054946,0.41818700792307695,quadratic,1.0,0.0038715588739324236,0.5418567995054945,0.5418567995054951,0.41818700792307667,0.4181870079230774,0.5418567995054946,0.41818700792307695
Zfp950,0.027088983,0.5827001,0.042091087,0.5421863701648355,0.4095420138923078,quadratic,1.0,0.004208061043234568,0.5421863701648352,0.5421863701648361,0.4095420138923074,0.4095420138923084,0.5421863701648355,0.4095420138923078
Rps5,0.07399328,0.5732643,0.0452431,0.5305937003296703,0.39979781738461534,quadratic,1.0,5.2126786054595975e-05,0.5305937003296703,0.5305937003296709,0.3997978173846153,0.39979781738461573,0.5305937003296703,0.39979781738461534
Apex2,0.04749943,0.5225486,0.09617623,0.4932276396703299,0.38966520661538473,quadratic,1.0,0.017974903386908325,0.4932276396703297,0.4932276396703303,0.3896652066153844,0.389665206615385,0.4932276396703299,0.38966520661538473
Camk2d,0.25924483,0.6007676,0.018496858,0.538781259208791,0.3885745630769229,quadratic,1.0,0.13950986402258847,0.538781259208791,0.5387812592087912,0.38857456307692284,0.38857456307692295,0.538781259208791,0.3885745630769229
Unc80,0.11146924,0.57102054,0.00832528,0.5203688635164837,0.3789122907692309,quadratic,1.0,0.017270747374769302,0.5203688635164835,0.5203688635164841,0.37891229076923055,0.37891229076923116,0.5203688635164837,0.3789122907692309
Hnrnpa0,0.051830057,0.5220971,0.06543954,0.487941701313187,0.3759225289153847,quadratic,1.0,0.004434471540484264,0.4879417013131868,0.4879417013131873,0.37592252891538447,0.3759225289153849,0.487941701313187,0.3759225289153847
Dlgap2,0.16555248,0.54009295,0.05061319,0.49423071148351666,0.37045940623076934,quadratic,1.0,0.03392453335679835,0.4942307114835163,0.49423071148351705,0.370459406230769,0.3704594062307696,0.49423071148351666,0.37045940623076934
Snhg11,0.49542847,0.6056716,0.018551104,0.5264458159230769,0.36829878007692307,quadratic,1.0,0.542959072807566,0.5264458159230767,0.5264458159230775,0.36829878007692285,0.3682987800769234,0.5264458159230769,0.36829878007692307
Sntg1,0.042036373,0.51645935,0.051195417,0.4813240341208792,0.3670592145076923,quadratic,1.0,0.003371406613160488,0.4813240341208791,0.4813240341208797,0.36705921450769213,0.3670592145076927,0.4813240341208792,0.3670592145076923
Lrp1b,0.24229194,0.54283345,0.04890165,0.49102510401098926,0.363916454846154,quadratic,1.0,0.12263964936579164,0.4910251040109891,0.49102510401098953,0.36391645484615376,0.3639164548461542,0.49102510401098926,0.363916454846154
Actb,0.042672582,0.48472401,0.092391014,0.4580958653406594,0.36294211603076926,quadratic,1.0,0.020609963073034976,0.4580958653406593,0.45809586534065955,0.36294211603076915,0.36294211603076937,0.4580958653406594,0.36294211603076926
Zfhx2,0.06947577,0.51826686,0.038638525,0.4791697123351648,0.36022628880769225,quadratic,1.0,0.0002640519360757043,0.4791697123351648,0.47916971233516514,0.3602262888076922,0.3602262888076926,0.4791697123351648,0.36022628880769225
Pcnx2,0.06985015,0.5375049,0.0013372911,0.491367462141209,0.35743023277307706,quadratic,1.0,0.005833806973900901,0.49136746214120863,0.4913674621412095,0.3574302327730766,0.3574302327730774,0.491367462141209,0.35743023277307706
Tra2a,0.04175105,0.50605434,0.035777733,0.4694525508846157,0.35352148911538483,quadratic,1.0,0.0009085116805740423,0.46945255088461546,0.46945255088461596,0.3535214891153845,0.35352148911538495,0.4694525508846157,0.35352148911538483
Gapdh,0.09679991,0.4870175,0.075423814,0.4538295832307694,0.35190346876923084,quadratic,1.0,2.4278390220788815e-05,0.4538295832307693,0.45382958323076983,0.3519034687692306,0.3519034687692311,0.4538295832307694,0.35190346876923084
Slc16a7,0.20785345,0.50843924,0.06082359,0.4635051340659341,0.349121967076923,quadratic,1.0,0.08005159012485774,0.4635051340659341,0.4635051340659347,0.34912196707692295,0.34912196707692333,0.4635051340659341,0.349121967076923
