gene_name,fit_type,R2,R2_linear,coeff_0,coeff_1,coeff_2
Snhg11,quadratic,1.0,0.542959072807566,-0.0018754520384615392,-0.020782238576923084,0.6056716000000001
Scn9a,quadratic,1.0,0.03177805640855558,-0.002950349888278389,-0.011168462990842492,0.7044473999999998
Rpl18a,quadratic,1.0,0.02031292037001886,-0.0027704603836996356,-0.0032555380888278427,0.6463881000000001
Lrp1b,quadratic,1.0,0.12263964936579164,-0.00207253051831502,-0.011051857108058616,0.5428334500000003
Trpm3,quadratic,1.0,0.1516890369589291,-0.0016498524578754592,-0.009446754201465212,0.4831450300000001
Grin2a,quadratic,1.0,0.7704116661406837,-0.0008388221831501836,-0.014291070080586084,0.3665271400000001
A930011G23Rik,quadratic,1.0,0.03822774868397005,-0.003335114507326011,-0.013112302943223453,0.7730068600000003
Ubb,quadratic,1.0,0.016011058721992155,-0.002888949879853481,-0.0037759023311355355,0.6409432
Arpp21,quadratic,1.0,0.10773332581247286,-0.002037444102564103,-0.01043299620512822,0.5151703400000002
Pex5l,quadratic,1.0,0.5830574161171652,-0.0010525897051282054,-0.012446400910256415,0.3794324699999999
Slc16a7,quadratic,1.0,0.08005159012485774,-0.0019453937765567778,-0.009141853981684987,0.5084392400000001
Dlgap2,quadratic,1.0,0.03392453335679835,-0.0022364876391941404,-0.008577949921245434,0.5400929500000002
Gpr158,quadratic,1.0,0.5237551048377197,-0.0011265406959706965,-0.012110313106227113,0.3836000600000001
Unc80,quadratic,1.0,0.017270747374769302,-0.002640035860805862,-0.008963784578754588,0.5710205400000002
Rps5,quadratic,1.0,5.2126786054595975e-05,-0.002639348216117217,-0.006305488575091583,0.5732643000000001
Pfkp,quadratic,1.0,0.1424762618459181,-0.0017468283946886452,-0.009788165253663014,0.45193350000000004
Syn3,quadratic,1.0,0.23516386970528702,-0.0018620209560439578,-0.012629338340659341,0.5127715
Grin2b,quadratic,1.0,0.7082368221267688,-0.0007071434578754589,-0.010493231201465208,0.3106365000000001
Gapdh,quadratic,1.0,2.4278390220788815e-05,-0.002059841384615386,-0.004883114769230776,0.48701750000000016
Phf24,quadratic,1.0,0.002970675356064989,-0.0021963545604395613,-0.006082318406593414,0.4971405000000001
Vsnl1,quadratic,1.0,0.6166568321566779,-0.00042548647069597144,-0.005324169727106233,0.2649906300000001
Bhlhe40,quadratic,1.0,0.9078360743599382,-9.318247985348012e-05,-0.0025650385311355326,0.21939397000000002
H2afz,quadratic,1.0,0.49679924025952593,-0.001004381426739928,-0.010353016067765572,0.3333161800000002
Cobl,quadratic,1.0,0.07221470776603744,-0.0015440655604395614,-0.0070576254065934105,0.4030576300000001
Npm1,quadratic,1.0,0.029138819694069396,-0.0011904976959706969,-0.001119386106227114,0.36577308000000003
H3f3b,quadratic,1.0,0.0038715588739324236,-0.0026133496758241775,-0.004783951137362651,0.5797288000000002
Rpsa,quadratic,1.0,0.00019537035863370633,-0.0011969233287545797,-0.0029244332646520144,0.35918345999999995
Trank1,linear,0.9873994924887357,0.9873994924887357,-0.011226250967741935,0.19754567935483863,
Rpl13,quadratic,1.0,8.676360872617028e-05,-0.0020944582216117238,-0.004725700657509169,0.47275620000000024
Sntg1,quadratic,1.0,0.003371406613160488,-0.002407776134798536,-0.004488443555311365,0.5164593500000001
Actb,quadratic,1.0,0.020609963073034976,-0.0021303413010989015,-0.002485024316483519,0.48472401000000004
Pcdh15,quadratic,1.0,0.09343976894559869,-0.0015222518791208805,-0.007471870186813187,0.39168987000000005
Sptbn4,quadratic,1.0,0.06643188457888849,-0.0019464416586080597,-0.00870564554578755,0.44860062000000006
Ablim2,quadratic,1.0,0.021408666743808702,-0.0020741052719780236,-0.007297705079670342,0.4655118600000002
Rplp0,quadratic,1.0,0.031094368344972034,-0.0016287339963369978,-0.006139077278388283,0.40744716000000003
Gabrb1,quadratic,1.0,0.5679500380481192,-0.0009551944908424916,-0.011018628695970699,0.31334670000000014
Pcnx2,quadratic,1.0,0.005833806973900901,-0.0025864516270146538,-0.007619791071886459,0.5375049000000003
Rps2,quadratic,1.0,0.005076684267391385,-0.002330402054029305,-0.0067687221437728986,0.4953038400000001
Prkcg,quadratic,1.0,0.04389666279109816,-0.0012947464871794876,-0.005245327974358976,0.35795066000000003
Hnrnpa0,quadratic,1.0,0.004434471540484264,-0.0023742371719780234,-0.004262421379670336,0.5220971000000002
Ncam2,quadratic,1.0,0.13163864988302743,-0.0012158238919413925,-0.00663448971245422,0.3492625700000001
Csmd3,quadratic,1.0,0.09660102291239181,-0.0018237722124542141,-0.00903906985347986,0.4333734200000002
Ahcyl2,quadratic,1.0,0.16924716789568095,-0.0011753974890109898,-0.006999030335164842,0.34371102000000014
